id,title,firstname,lastname,street,city,email,age,amount,orders
139,Frau Dr.,Hasan,Funk,Ortrud-Bruns-Ring 9,Nettetal,jorn.franz@gmx.de,25,236.00,5
6,Herr,Valeri,Stumpf,Krebsallee 90a,Mainz,hvetter@hotmail.de,67,,0
104,Frau Prof.,Nikolai,Kluge,Theresia-Fuhrmann-Allee 495,Euskirchen,margitta.voss@freenet.de,27,258.00,7
105,Frau,Darius,Klaus,Elisabeth-Reichert-Platz 6,Gladbeck,heinzdieter81@posteo.de,48,624.00,9
107,Herr Prof.,Lydia,Walter,Finkplatz 73,Grimma,hempel.holger@web.de,74,221.00,4
108,Frau,Regina,Henning,Silke-Riedel-Straße 8c,Weiterstadt,bkraus@yahoo.de,27,246.00,5
109,Frau,Hanspeter,Fink,Kriegerstraße 160,Ludwigsburg,sabina.fink@t-online.de,18,396.00,9
110,Herr Prof. Dr.,Henriette,Binder,Josefa-Brandt-Platz 3,Ahlen,jfuhrmann@mail.de,20,224.00,5
111,Frau,Norbert,Kühn,Rico-Lange-Ring 790,Gummersbach,eckhard62@hotmail.de,49,595.00,10
113,Herr Dr.,Hasan,Albers,Helena-Bühler-Platz 4b,Jülich,jacqueline67@freenet.de,62,302.00,7
114,Herr,Giesela,Maier,Hermann-Josef-Benz-Ring 3,Freising,nbehrens@gmail.com,32,251.00,5
186,Frau Dr.,Christl,Lechner,Roland-Bertram-Platz 5,Lippstadt,meister.karlludwig@gmail.com,54,529.00,10
13,Herr Dr.,Jutta,Ebert,Simon-Kessler-Platz 4a,Marl,steinbach.achim@web.de,53,,0
166,Herr Dr.,Mona,Wittmann,Katarina-Ackermann-Weg 113,Horb am Neckar,wolf91@googlemail.com,77,475.00,9
167,Herr Prof. Dr.,Sibylle,Wegner,Hoppegasse 91a,Geestland,glindemann@gmail.com,76,222.00,5
168,Herr,Ursel,Schrader,Reinhold-Bach-Ring 0c,Bad Mergentheim,kohler.karlheinz@googlemail.com,50,246.00,4
196,Herr Prof. Dr.,Sofia,Rausch,Ilse-Rau-Straße 69,Übach-Palenberg,falko68@hotmail.de,27,253.00,9
198,Frau Prof. Dr.,Burkhard,Steinbach,Christina-Noack-Platz 5/9,Voerde (Niederrhein),siegmund82@gmail.com,22,111.00,2
7,Frau Prof.,Gitta,Strauß,Fleischmanngasse 766,Metzingen,rsauer@googlemail.com,79,,0
8,Herr Prof.,Wolfgang,Reimer,Neubertplatz 15a,Detmold,ursula38@freenet.de,51,,0
169,Herr,Rebecca,Hartwig,Wulfallee 5/0,Fürstenfeldbruck,erna60@yahoo.de,72,282.00,7
170,Herr Prof.,Oskar,Sauer,Vollmerstr. 98,Bünde,meta82@aol.de,59,211.00,6
171,Frau Prof. Dr.,Edwin,Reinhardt,Pfeifergasse 423,Traunreut,hermann.hennig@mail.de,20,273.00,4
172,Frau Prof. Dr.,Silvana,Zander,Seifertallee 92,Lohne (Oldenburg),nwild@aol.de,61,98.00,2
145,Herr,Ingeburg,Sommer,Schumacherstr. 8c,Landshut,theresa.straub@gmx.de,60,464.00,8
173,Herr Prof.,Karl-Friedrich,Wunderlich,Gerhild-Wittmann-Straße 46c,Berlin,roger01@gmx.de,20,439.00,9
174,Herr Prof. Dr.,Torsten,Köster,Heinemannweg 75,Göppingen,hansgerd82@t-online.de,51,317.00,5
175,Herr Prof.,Elise,Hermann,Nikolaus-Haupt-Gasse 58c,Kulmbach,dagmar.bischoff@googlemail.com,18,324.00,5
176,Frau Dr.,Giesela,Barthel,Ralph-Jahn-Platz 5/2,Kehl,danny09@gmx.de,74,177.00,3
177,Herr Dr.,Alwin,Greiner,Thomasweg 41,Dortmund,resi.riedl@gmx.de,29,332.00,7
178,Frau Dr.,Gunther,Born,Finkgasse 2,Maintal,richard.busch@yahoo.de,59,345.00,9
179,Frau Dr.,Swetlana,Schröter,Doris-Witt-Ring 308,Meppen,qlindner@posteo.de,19,229.00,5
